Year,Gender,Sleep_Difficulty,Avg_Sleep_Hours,Wake_Frequency,Sleep_Quality,Concentration_Issue,Daytime_Fatigue,Missed_Classes,Sleep_Impact_Assignments,Device_Use_Before_Sleep,Caffeine_Use,Physical_Activity,Academic_Stress,Academic_Performance
Third year,Male,Often,7-8 hours,Often,Average,Often,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Second year,Male,Sometimes,6-7 hours,Often,Good,Rarely,Sometimes,Sometimes,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Average
Third year,Male,Often,More than 8 hours,Often,Good,Rarely,Sometimes,Rarely,Moderate impact,Sometimes,Sometimes,Sometimes,Low stress,Average
First year,Male,Often,7-8 hours,Rarely,Average,Sometimes,Rarely,Sometimes,Moderate impact,Rarely,Sometimes,Sometimes,High stress,Excellent
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Rarely,Moderate impact,Often,Rarely,Sometimes,High stress,Below Average
Graduate student,Male,Rarely,4-5 hours,Rarely,Average,Sometimes,Sometimes,Rarely,Minor impact,Rarely,Rarely,Rarely,Low stress,Average
Second year,Male,Often,7-8 hours,Often,Good,Often,Sometimes,Often,Moderate impact,Often,Often,Sometimes,Extremely high stress,Good
First year,Male,Often,7-8 hours,Sometimes,Good,Never,Sometimes,Rarely,Moderate impact,Rarely,Often,Often,High stress,Good
Second year,Male,Rarely,6-7 hours,Rarely,Poor,Often,Often,Sometimes,No impact,Rarely,Rarely,Rarely,Low stress,Excellent
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Sometimes,Sometimes,Major impact,Sometimes,Often,Often,High stress,Average
Second year,Female,Often,More than 8 hours,Often,Good,Sometimes,Often,Often,Minor impact,Often,Rarely,Often,High stress,Below Average
Third year,Male,Sometimes,7-8 hours,Sometimes,Good,Sometimes,Often,Often,Moderate impact,Often,Sometimes,Sometimes,High stress,Average
Second year,Female,Often,7-8 hours,Often,Average,Often,Rarely,Often,Moderate impact,Sometimes,Often,Sometimes,High stress,Good
Second year,Female,Sometimes,7-8 hours,Often,Good,Often,Sometimes,Often,Major impact,Rarely,Often,Often,Low stress,Average
Third year,Male,Often,7-8 hours,Often,Good,Sometimes,Rarely,Sometimes,Moderate impact,Sometimes,Often,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Sometimes,Average,Often,Sometimes,Sometimes,Minor impact,Often,Sometimes,Often,Low stress,Average
Third year,Female,Often,7-8 hours,Sometimes,Average,Sometimes,Always,Often,Moderate impact,Often,Rarely,Often,Low stress,Good
Second year,Male,Often,6-7 hours,Often,Poor,Often,Sometimes,Often,Moderate impact,Often,Often,Sometimes,High stress,Average
Third year,Male,Sometimes,7-8 hours,Sometimes,Average,Sometimes,Often,Often,Moderate impact,Often,Often,Often,Low stress,Good
Third year,Male,Often,More than 8 hours,Often,Good,Often,Rarely,Sometimes,Moderate impact,Often,Sometimes,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Second year,Female,Often,7-8 hours,Often,Good,Sometimes,Often,Sometimes,Moderate impact,Often,Sometimes,Often,High stress,Average
Third year,Male,Often,6-7 hours,Sometimes,Average,Often,Often,Often,Major impact,Often,Often,Sometimes,Extremely high stress,Average
Third year,Female,Often,7-8 hours,Sometimes,Average,Sometimes,Often,Rarely,Major impact,Sometimes,Sometimes,Sometimes,Low stress,Average
Third year,Male,Often,More than 8 hours,Often,Average,Often,Sometimes,Often,Minor impact,Often,Rarely,Often,High stress,Average
Third year,Female,Often,4-5 hours,Often,Average,Sometimes,Sometimes,Often,Moderate impact,Often,Often,Every day,Low stress,Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Often,Sometimes,Major impact,Often,Sometimes,Sometimes,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Sometimes,Often,Major impact,Often,Sometimes,Sometimes,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Rarely,Always,Moderate impact,Often,Sometimes,Often,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Sometimes,Often,Sometimes,Major impact,Often,Often,Sometimes,High stress,Average
Third year,Male,Often,More than 8 hours,Often,Poor,Sometimes,Sometimes,Always,Major impact,Sometimes,Often,Sometimes,High stress,Average
Second year,Male,Often,More than 8 hours,Often,Good,Sometimes,Sometimes,Often,Major impact,Often,Often,Often,Low stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Good,Often,Rarely,Often,Major impact,Often,Sometimes,Often,High stress,Average
Third year,Female,Often,7-8 hours,Often,Very good,Often,Always,Sometimes,Moderate impact,Rarely,Rarely,Often,Low stress,Average
Third year,Female,Often,7-8 hours,Often,Very poor,Sometimes,Often,Often,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Sometimes,7-8 hours,Often,Good,Often,Sometimes,Sometimes,Moderate impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Sometimes,Less than 4 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Average,Often,Often,Sometimes,Moderate impact,Often,Sometimes,Often,Low stress,Below Average
Third year,Male,Often,7-8 hours,Sometimes,Good,Often,Often,Often,Moderate impact,Often,Often,Sometimes,Extremely high stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Average,Often,Often,Sometimes,Major impact,Sometimes,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Often,Moderate impact,Sometimes,Sometimes,Sometimes,Low stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Average,Often,Often,Always,Major impact,Often,Sometimes,Often,Low stress,Below Average
Second year,Male,Often,7-8 hours,Sometimes,Average,Often,Sometimes,Often,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Sometimes,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Average,Often,Often,Sometimes,Major impact,Sometimes,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Always,Often,Moderate impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Always,Often,Often,Moderate impact,Sometimes,Often,Often,High stress,Below Average
Second year,Female,Often,7-8 hours,Often,Poor,Rarely,Sometimes,Rarely,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Sometimes,7-8 hours,Rarely,Poor,Rarely,Rarely,Rarely,Minor impact,Rarely,Rarely,Rarely,Low stress,Below Average
Second year,Male,Often,7-8 hours,Often,Good,Rarely,Rarely,Rarely,Moderate impact,Sometimes,Rarely,Rarely,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Sometimes,Sometimes,Rarely,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very good,Sometimes,Often,Sometimes,Major impact,Sometimes,Sometimes,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Sometimes,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Sometimes,Always,Sometimes,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Graduate student,Male,Sometimes,7-8 hours,Often,Average,Sometimes,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Moderate impact,Often,Often,Often,Low stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Rarely,Sometimes,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Male,Never,4-5 hours,Sometimes,Good,Often,Sometimes,Rarely,Major impact,Rarely,Sometimes,Often,High stress,Below Average
Third year,Female,Sometimes,6-7 hours,Often,Good,Rarely,Sometimes,Sometimes,Minor impact,Sometimes,Sometimes,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Rarely,Very good,Sometimes,Often,Often,Minor impact,Rarely,Sometimes,Often,High stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Average,Rarely,Sometimes,Rarely,Minor impact,Often,Sometimes,Sometimes,Low stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,Low stress,Below Average
Graduate student,Male,Sometimes,7-8 hours,Often,Very good,Always,Often,Sometimes,Major impact,Sometimes,Sometimes,Sometimes,Low stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Average,Sometimes,Often,Often,Major impact,Rarely,Often,Sometimes,High stress,Below Average
First year,Male,Often,7-8 hours,Often,Good,Rarely,Rarely,Never,Major impact,Often,Sometimes,Every day,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Always,Often,Minor impact,Rarely,Sometimes,Sometimes,Low stress,Below Average
Graduate student,Male,Often,6-7 hours,Often,Good,Often,Often,Always,Major impact,Sometimes,Often,Sometimes,No stress,Below Average
Graduate student,Male,Often,6-7 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
First year,Male,Often,7-8 hours,Often,Good,Always,Sometimes,Often,Minor impact,Often,Rarely,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Poor,Sometimes,Always,Often,Minor impact,Sometimes,Often,Never,High stress,Below Average
First year,Female,Often,More than 8 hours,Often,Poor,Sometimes,Sometimes,Rarely,Minor impact,Rarely,Rarely,Rarely,No stress,Below Average
Third year,Female,Often,7-8 hours,Often,Average,Sometimes,Often,Often,Major impact,Often,Often,Rarely,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Sometimes,Always,Often,Moderate impact,Often,Sometimes,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Often,Often,Sometimes,Major impact,Often,Sometimes,Every day,High stress,Below Average
Third year,Female,Often,6-7 hours,Sometimes,Good,Sometimes,Often,Always,Moderate impact,Often,Often,Often,Low stress,Average
Graduate student,Female,Often,6-7 hours,Often,Good,Sometimes,Often,Rarely,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Often,Sometimes,Always,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Moderate impact,Sometimes,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Often,Always,Minor impact,Rarely,Rarely,Sometimes,No stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Average,Never,Rarely,Sometimes,Minor impact,Sometimes,Rarely,Rarely,High stress,Average
Graduate student,Male,Rarely,More than 8 hours,Often,Very good,Rarely,Rarely,Rarely,Moderate impact,Sometimes,Sometimes,Often,High stress,Below Average
First year,Male,Often,7-8 hours,Often,Very good,Rarely,Never,Sometimes,Minor impact,Often,Sometimes,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Very good,Always,Sometimes,Sometimes,Moderate impact,Often,Often,Sometimes,High stress,Below Average
Third year,Female,Sometimes,7-8 hours,Often,Very good,Always,Sometimes,Sometimes,Moderate impact,Often,Often,Sometimes,Low stress,Below Average
Graduate student,Male,Rarely,7-8 hours,Often,Very good,Sometimes,Often,Always,Major impact,Often,Often,Every day,Low stress,Below Average
Graduate student,Female,Rarely,7-8 hours,Sometimes,Good,Often,Often,Rarely,Major impact,Often,Rarely,Often,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Average,Often,Sometimes,Always,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Average,Often,Often,Rarely,Minor impact,Rarely,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Sometimes,6-7 hours,Often,Very good,Rarely,Sometimes,Sometimes,Minor impact,Sometimes,Sometimes,Sometimes,Low stress,Below Average
Third year,Male,Sometimes,7-8 hours,Often,Very good,Sometimes,Often,Rarely,Major impact,Often,Sometimes,Often,High stress,Below Average
Graduate student,Female,Sometimes,More than 8 hours,Often,Poor,Rarely,Sometimes,Often,Moderate impact,Often,Rarely,Rarely,Extremely high stress,Below Average
Third year,Female,Sometimes,7-8 hours,Often,Very good,Often,Sometimes,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Sometimes,Good,Always,Rarely,Rarely,Major impact,Sometimes,Sometimes,Often,High stress,Below Average
Third year,Female,Rarely,More than 8 hours,Often,Very good,Often,Sometimes,Often,Major impact,Often,Often,Often,No stress,Below Average
Graduate student,Female,Sometimes,More than 8 hours,Often,Average,Rarely,Rarely,Often,Moderate impact,Sometimes,Sometimes,Sometimes,High stress,Good
Third year,Female,Often,More than 8 hours,Often,Average,Often,Often,Often,Minor impact,Sometimes,Often,Sometimes,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Sometimes,Often,Always,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Average,Always,Sometimes,Always,Major impact,Often,Often,Often,Low stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Sometimes,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Always,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Sometimes,Always,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Moderate impact,Sometimes,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Every day,Low stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Always,Major impact,Sometimes,Sometimes,Often,No stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Sometimes,Sometimes,Often,Major impact,Sometimes,Often,Sometimes,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Always,Always,Sometimes,Major impact,Sometimes,Often,Every day,High stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Good,Often,Always,Always,Minor impact,Often,Often,Sometimes,High stress,Below Average
Second year,Female,Never,7-8 hours,Often,Good,Often,Often,Sometimes,Minor impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Sometimes,Very good,Often,Always,Often,Moderate impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Always,Major impact,Sometimes,Often,Sometimes,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Often,Always,Sometimes,Minor impact,Sometimes,Sometimes,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Sometimes,Sometimes,Often,Major impact,Often,Often,Every day,Low stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Low stress,Below Average
Graduate student,Female,Sometimes,7-8 hours,Often,Very good,Always,Always,Rarely,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Rarely,Sometimes,Often,Minor impact,Often,Often,Sometimes,High stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Sometimes,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Sometimes,Sometimes,Sometimes,Major impact,Often,Rarely,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Sometimes,Often,Sometimes,Major impact,Often,Often,Every day,Low stress,Below Average
Third year,Female,Often,7-8 hours,Often,Average,Sometimes,Often,Often,Moderate impact,Rarely,Sometimes,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Sometimes,Very good,Sometimes,Sometimes,Sometimes,Moderate impact,Sometimes,Rarely,Often,Low stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Moderate impact,Sometimes,Often,Sometimes,Low stress,Below Average
Third year,Female,Sometimes,7-8 hours,Often,Good,Often,Rarely,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Average
Third year,Male,Often,More than 8 hours,Often,Average,Often,Sometimes,Sometimes,Moderate impact,Rarely,Often,Sometimes,Low stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Good,Often,Often,Often,Moderate impact,Often,Often,Sometimes,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Often,Sometimes,Often,Moderate impact,Sometimes,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Average,Sometimes,Sometimes,Often,Moderate impact,Often,Sometimes,Sometimes,High stress,Below Average
Graduate student,Male,Sometimes,7-8 hours,Often,Good,Sometimes,Sometimes,Often,Major impact,Sometimes,Sometimes,Often,Low stress,Below Average
Third year,Male,Often,7-8 hours,Sometimes,Very good,Often,Sometimes,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Often,Often,Moderate impact,Rarely,Sometimes,Sometimes,High stress,Below Average
Graduate student,Female,Sometimes,7-8 hours,Often,Very good,Never,Rarely,Sometimes,Moderate impact,Often,Sometimes,Sometimes,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Sometimes,Often,Sometimes,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Sometimes,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Sometimes,Rarely,Sometimes,Low stress,Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Sometimes,Often,Major impact,Rarely,Often,Often,Low stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Minor impact,Sometimes,Sometimes,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Sometimes,Good,Always,Always,Often,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Good,Sometimes,Always,Sometimes,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Sometimes,Sometimes,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Sometimes,Sometimes,Never,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Sometimes,Often,Often,Major impact,Often,Sometimes,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Often,Often,Sometimes,Moderate impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Third year,Female,Sometimes,7-8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Sometimes,Always,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Sometimes,Major impact,Often,Often,Sometimes,Low stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Sometimes,Often,Often,Major impact,Rarely,Sometimes,Sometimes,Low stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Always,Always,Sometimes,Major impact,Often,Often,Rarely,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Second year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Sometimes,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Sometimes,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,Low stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Sometimes,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Never,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Always,Always,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Moderate impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
